,Energy_1,Energy_2,Trip,Average_Speeds,Style,Motor_Way,City,Country_Road,Tire_Type,Parking_Heat,Consumption_1,Consumption_2
2065,"['0,25']",0.25,"['2,0']",23.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"12,50",12.5
2066,"['0,95']",0.95,"['6,0']",22.0,['Normal'],0.0,1.0,0.0,['Winter tires'],1.0,"15,83",15.9
2067,"['0,50']",0.5,"['4,0']",30.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"12,50",12.6
2068,"['4,62']",4.62,"['35,0']",33.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],0.0,"13,20",13.2
2069,"['1,54']",1.54,"['11,0']",15.0,['Moderate'],0.0,1.0,0.0,['Winter tires'],0.0,"14,00",14.0
2070,"['0,69']",0.68,"['5,0']",30.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"13,80",13.8
2071,"['0,87']",0.87,"['8,0']",26.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"10,88",10.9
2072,"['1,90']",1.9,"['20,0']",28.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"9,50",9.5
2073,"['3,66']",3.66,"['20,0']",48.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,30",18.3
2074,"['1,62']",1.62,"['20,0']",39.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],0.0,"8,10",8.1
2075,"['3,76']",3.76,"['20,0']",45.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],1.0,"18,80",18.8
2076,"['1,64']",1.64,"['20,0']",41.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],0.0,"8,20",8.2
2077,[],,[],,[],,,,[],,,
2078,"['3,56']",3.56,"['20,0']",44.0,['Moderate'],1.0,1.0,1.0,['Winter tires'],0.0,"17,80",17.8
2079,"['1,10']",1.1,"['8,0']",43.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"13,75",13.8
2080,"['3,88']",3.88,"['38,0']",35.0,['Normal'],0.0,1.0,1.0,['Winter tires'],1.0,"10,21",10.2
2081,"['3,64']",3.64,"['20,0']",44.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,20",18.2
2082,"['2,14']",2.14,"['20,0']",38.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"10,70",10.7
2083,"['3,74']",3.74,"['20,0']",46.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"18,70",18.7
2084,"['1,65']",1.65,"['12,0']",22.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"13,75",13.8
2085,"['0,93']",0.93,"['6,0']",24.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"15,50",15.6
2086,"['0,49']",0.49,"['3,0']",23.0,['Fast'],0.0,1.0,0.0,['Winter tires'],1.0,"16,33",16.6
2087,"['5,89']",5.89,"['45,0']",27.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],0.0,"13,09",13.1
2088,"['5,85']",5.85,"['44,0']",28.0,['Moderate'],0.0,1.0,1.0,['Winter tires'],0.0,"13,30",13.3
2089,"['3,96']",3.96,"['36,0']",33.0,['Fast'],0.0,1.0,1.0,['Winter tires'],1.0,"11,00",11.0
2090,"['4,02']",4.02,"['20,0']",44.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"20,10",20.1
2091,"['2,00']",2.0,"['20,0']",39.0,['Fast'],1.0,1.0,1.0,['Winter tires'],1.0,"10,00",10.0
2092,"['3,80']",3.8,"['20,0']",47.0,['Normal'],1.0,1.0,1.0,['Winter tires'],1.0,"19,00",19.0
2093,"['1,86']",1.86,"['20,0']",47.0,['Normal'],1.0,1.0,1.0,['Winter tires'],0.0,"9,30",9.3
2094,"['0,35']",0.35,"['2,0']",20.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"17,50",17.8
2095,"['0,21']",0.21,"['2,0']",22.0,['Normal'],0.0,1.0,0.0,['Winter tires'],0.0,"10,50",10.7
